ID	OID	Title	Description	Option	Price
ms	eminentwhitepearl	Marble Stone	Marble Stone	Eminent White Pearl	300.00
ms	liquidplatinum	Marble Stone	Marble Stone	Liquid Platinum	300.00
ms	nebulagraypearl	Marble Stone	Marble Stone	Nebula Gray Pearl	300.00
csk	eminentwhitepearl	Classic Styled Kitchen	Classic Styled Kitchen color	Eminent White Pearl	400.00
csk	liquidplatinum	Classic Styled Kitchen	Classic Styled Kitchen	Liquid Platinum	400.00
csk	nebulagraypearl	Classic Styled Kitchen	Classic Styled Kitchen	Nebula Gray Pearl	400.00
ml	eminentwhitepearl	Modern Lifestyle	Modern Lifestyle color	Eminent White Pearl	500.00
ml	liquidplatinum	Modern Lifestyle	Modern Lifestyle	Liquid Platinum	500.00
ml	nebulagraypearl	Modern Lifestyle	Modern Lifestyle color	Nebula Gray Pearl	500.00
lwk	eminentwhitepearl	Luxurious Wooden Kitchen	Luxurious Wooden Kitchen color	Eminent White Pearl	600.00
lwk	liquidplatinum	Luxurious Wooden Kitchen	Luxurious Wooden Kitchen	Liquid Platinum	600.00
lwk	nebulagraypearl	Luxurious Wooden Kitchen	Luxurious Wooden Kitchen	Nebula Gray Pearl	600.00
